openalex_id,title,year,cited_by_count,type,field,subfield,authors,doi
W4386143613,Skyrme model and related topics,2023,0,book-chapter,Physics and Astronomy,Nuclear and High Energy Physics,Yisong Yang,10.1093/oso/9780192872616.003.0012
W4386143627,Einstein equations and related topics,2023,0,book-chapter,Physics and Astronomy,Astronomy and Astrophysics,Yisong Yang,10.1093/oso/9780192872616.003.0010
W4389145771,Differential Geometry of Position Vector Fields,2023,0,conference-paper,Engineering,Control and Systems Engineering,Bang‐Yen Chen,10.55060/s.atmps.231115.001
W4401452893,Efficient Electromagnetic Scattering Simulation for Inhomogeneous Objects with Triply Periodic Minimal Surface Structure,2024,0,conference-paper,Physics and Astronomy,"Atomic and Molecular Physics, and Optics","Zi-Zhu Qin, Wei-Jia He, Bi‐Yi Wu",10.1109/piers62282.2024.10618099
W4411582082,Transformation from Weaire-Phelan packing to thermally stable Euler crystals in polycrystalline face-centered cubic metals,2025,0,article,Materials Science,Materials Chemistry,"Dan Yang, Xiaoming Su, Hongtao Xue",10.1016/j.actamat.2025.121289
W4412819067,Visualizing Shape Functionals via Sinkhorn Multidimensional Scaling,2025,0,article,Engineering,Computational Mechanics,"Toshiaki Yachimura, Jun Okamoto, Lorenzo Cavallina",10.1137/24m1696093
W54510340,Discrete Methods in Differential Geometry,2014,0,book-chapter,Engineering,Computational Mechanics,Li M. Chen,10.1007/978-3-319-12099-7_13
W63223546,"Form Finding, Analysis and Computer Aided Design of Tension Structures",2009,0,book-chapter,Engineering,Civil and Structural Engineering,Thouraya Nouri-Baranger,10.4203/csets.7.15
W644707799,Quelques applications des fonctions a variation bornée en dimension finie et infinie,2011,0,dissertation,Computer Science,Computational Theory and Mathematics,Michaël Goldman,
W69941461,Triply Periodic Nanostructures,2007,0,book-chapter,Materials Science,Materials Chemistry,"Mircea V. Diudea, Csaba L. Nagy",10.1007/978-1-4020-6020-5_7
W89994387,Minimal Surface Form-Finding Analysis of the Membrane Structure,2011,0,conference-paper,Engineering,Civil and Structural Engineering,"Nan Ji, Yuanyuan Luo",10.1007/978-3-642-27503-6_74
W901659341,“Ellipsoid-of-Revolution to Cylinder”: Oblique Aspect,2014,0,book-chapter,Social Sciences,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_16
W9467931,A Laboratory for Geometric Performance 1,1999,0,article,Arts and Humanities,Visual Arts and Performing Arts,Sha Xin Wei,10.1016/s0040-8166(97)80046-8
